REF_AREA,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,AGE_GROUP,2010_hdi,2018_hdi,2010_hcp,2018_hcp,2010_hci,2018_hci
AGO,Angola,"Population ages 20-24, female (% of female population)",Female,20 to 24 years old,working_age,8.73986547631018,8.39907744869211,87.855,85.693,,0.3601909577846527
AGO,Angola,"Population ages 20-24, male (% of male population)",Male,20 to 24 years old,working_age,8.87921799882669,8.50259392234502,87.855,85.693,,0.3601909577846527
AGO,Angola,"Population ages 25-29, female (% of female population)",Female,25 to 29 years old,working_age,7.36924794801098,7.44935511778474,87.855,85.693,,0.3601909577846527
AGO,Angola,"Population ages 25-29, male (% of male population)",Male,25 to 29 years old,working_age,7.40466122679101,7.47992045276793,87.855,85.693,,0.3601909577846527
AGO,Angola,"Population ages 30-34, female (% of female population)",Female,30 to 34 years old,working_age,6.13107962934543,6.40664420903595,87.855,85.693,,0.3601909577846527
AGO,Angola,"Population ages 30-34, male (% of male population)",Male,30 to 34 years old,working_age,6.05734834904454,6.39103843622407,87.855,85.693,,0.3601909577846527
AGO,Angola,"Population ages 35-39, female (% of female population)",Female,35 to 39 years old,working_age,5.17194583066526,5.26825983874841,87.855,85.693,,0.3601909577846527
AGO,Angola,"Population ages 35-39, male (% of male population)",Male,35 to 39 years old,working_age,4.9706183586552,5.19364060473662,87.855,85.693,,0.3601909577846527
AGO,Angola,"Population ages 40-44, female (% of female population)",Female,40 to 44 years old,working_age,4.48626238999169,4.31206220010047,87.855,85.693,,0.3601909577846527
AGO,Angola,"Population ages 40-44, male (% of male population)",Male,40 to 44 years old,working_age,4.21531371799937,4.16206153283098,87.855,85.693,,0.3601909577846527
AGO,Angola,"Population ages 45-49, female (% of female population)",Female,45 to 49 years old,working_age,3.72376391145357,3.61325646479721,87.855,85.693,,0.3601909577846527
AGO,Angola,"Population ages 45-49, male (% of male population)",Male,45 to 49 years old,working_age,3.56473593528747,3.36440402626322,87.855,85.693,,0.3601909577846527
AGO,Angola,"Population ages 50-54, female (% of female population)",Female,50 to 54 years old,working_age,2.94274328836862,3.0082732006249,87.855,85.693,,0.3601909577846527
AGO,Angola,"Population ages 50-54, male (% of male population)",Male,50 to 54 years old,working_age,2.83475207641512,2.76514588394859,87.855,85.693,,0.3601909577846527
